0                       0.63475  0.2327    0     4.2902
M3 V124                 0.75243  0.2327  326     5.9504
M5 V87                  0.73921  0.2335  326     6.0107
FW Lup                  0.48417  0.2382  326     5.7156
M68 V30                 0.73364  0.2397  326     5.3584
Rup106 V13              0.65315  0.2398  326     4.9328
Rup106 V18              0.63547  0.2424  326     5.4264
M3 V62                  0.65241  0.2493  326     5.6235
Rup106 V16              0.62851  0.2551  326     5.2816
M5 V75                  0.68547  0.2598  326     5.6388
CN Lyr                  0.41138  0.2605  326     5.5319

1                       0.63475  0.2196    0     9.8874
M3 V124                 0.75243  0.2196  328     5.9504
M5 V87                  0.73921  0.2207  328     6.0107
FW Lup                  0.48417  0.2251  328     5.7156
Rup106 V13              0.65315  0.2253  328     4.9328
M68 V30                 0.73364  0.2263  328     5.3584
Rup106 V18              0.63547  0.2300  328     5.4264
M3 V62                  0.65241  0.2377  328     5.6235
Rup106 V16              0.62851  0.2416  328     5.2816
CN Lyr                  0.41138  0.2445  328     5.5319
M5 V75                  0.68547  0.2464  328     5.6388

