
Spider-Man (Peter Parker), Captain America (Steven Rogers), "Iron Man (Anthony \""Tony\"" Stark)", Thor (Thor Odinson), Benjamin Grimm, Reed Richards, Hulk (Robert Bruce Banner), Jonathan Storm, Henry McCoy, Susan Storm, Ororo Munroe
Clinton Barton, Matthew Murdock, Stephen Strange, Mary Jane Watson, Robert Drake, Henry Pym, Charles Xavier, Warren Worthington III, Piotr Rasputin, Wanda Maximoff, Janet van Dyne
Jean Grey, Natalia Romanova, Kurt Wagner, Vision, May Reilly, Katherine Pryde, Carol Danvers, Jennifer Walters, Luke Cage, Rogue (Anna Marie), Joseph Robertson
Pietro Maximoff, Hercules, Norrin Radd, Eugene Thompson, Simon Williams, Samuel Guthrie, James Buchanan Barnes, Remy LeBeau, Daniel Rand, Elizabeth Brant, Richard Jones
Edwin Jarvis, Alexander Summers, Patricia Walker, Human Torch (Android), Franklin Nelson, Brian Braddock, James Rhodes, Timothy Dugan, Crystalia Amaquelin, Samuel Wilson, Dane Whitman
Harold Osborn, Franklin Richards, Jessica Drew, Roberto da Costa, Rahne Sinclair, Elizabeth Ross, Lorna Dane, Johnathon Blaze, Sif, Jubilation Lee, Volstagg
Balder Odinson, Danielle Moonstar, Marc Spector, Gwendolyne Stacy, Medusalith Amaquelin, Fandral, Thomas Raymond, Uatu, Richard Rider, Hogun, Barbara Morse
Blackagar Boltagon, Brunnhilde, Alison Blaire, John Walker, Greer Grant, Sharon Carter, Monica Rambeau, Maria Hill, Ben Urich, Heather Douglas, James Proudstar
Angelica Jones, Tabitha Smith, Jean-Paul Beaubier, Neena Thurman, Wong, Shang-Chi, Alicia Masters, Robert Baldwin, Vance Astrovik, Wendell Vaughn, Abner Jenkins
Forge, Virginia Potts, Walter Langkowski, Gorgon, James Madrox, Heimdall, Theresa Cassidy, Laura Kinney, Arthur Douglas, Peter Parker (Ben Reilly), Warlock (Technarch)
Kevin Plunder, Leonard Samson, Melissa Gold, Lockheed, Mercedes Knight, Moira Kinross, Karnak, Namorita Prentiss, Lockjaw, Adam Warlock, Theodore Sallis
Clea, Mar-Vell, Eugene Judd, John Jonah Jameson III, Triton, Meggan Puceanu, Santo Vaccarro, Jonathan Clay, Sersi, Zabu, Julio Richter
Megan Gwynn, Kyle Richmond, Karen Page, Tyrone Johnson, Valerie Cooper, Anna May, Tandy Bowen, Monet St. Croix, Amara Aquilla, Julia Carpenter, Jane Foster
Scott Lang, Paige Guthrie, Benjamin Parker, Erik Josten, Jeanne-Marie Beaubier, Michael Twoyoungmen, Hope Summers, Eric Masterson, Alexander Power, Matthew Hawk, Jessica Jones
Eric Brooks, Eros, Madison Jeffries, Jonothon Starsmore, Victor Borkowski, Douglas Ramsey, Julian Keller, Jack Russell, Celeste Cuckoo, Colleen Wing, Irma Cuckoo
Phoebe Cuckoo, Sage, Valeria Richards, Donald Blake, Lilandra Neramani, Dwayne Taylor, Harold Hogan, Christopher Powell, Pip Gofern, James Hudson, Shiro Yoshida
Silver Sablinova, Elvin Haliday, James Bradley, Mantis, Marlene Alraune, Rachel Leighton, Anthony Druid, Cassandra Lang, Beta Ray Bill, Leech, Bug
Julie Power, Robert Ralston, Genis-Vell, Hisako Ichiki, X-51, Noriko Ashida, Cessily Kincaid, Jack Monroe, Madeline Joyce, Jocasta, Peter Wisdom
Jeffrey Mace, Aquaria Neptunia, Dragon Man, Narya, Dino Manelli, Peter Parker (Kaine), Thomas Halloway, Jasper Sitwell, Steel, Arthur Maddicks, Isadore Cohen
Makkari, Marlo Chandler, Percival Pinkerton, Quintavius Quire, Aragorn, Betty Dean, Jacqueline Falsworth, Caliban, Isaac Christians, Red Sonja, Jonathan Hart
Bambina Arbogast, Sooraya Qadir, Randolph Robertson, Yao, Agatha Harkness, Katherine Bishop, Walter Newell, Joanna Cargill, Rocket Raccoon, Wyatt Wingfoot, Peter Quill
Vision (Jonas), William Kaplan, George Stacy, Mari, Arcturus Rann, James Woo, Frank Drake, Doop, David Alleyne, Hepzibah, Samuel Sawyer
Jacques Duquesne, Miguel Santos, Christopher Summers, Prosh, Angelo Espinosa, Layla Miller, Clay Harder, Frigga, Ikaris (Eternal), Jack Power, Katherine Power
