#       s label      mu_y    beta_y   alpha_y   gamma_y    disp_y   disp_py      mu_z    beta_z   alpha_z   gamma_z    disp_z   disp_pz
10.499262 defoc  1.016760  0.065507  0.016336 15.797950  0.009305  0.069794  0.266312  0.621061 -2.249474  9.757718  0.000000 -0.000000
10.877757 defoc  1.074544  0.065728 -0.075861 15.828179  0.009541  0.057166  0.272327  0.637033 -1.967532  7.646679  0.000000 -0.000000
11.256252 defoc  1.132003  0.066642 -0.168809 15.952481  0.009732  0.044972  0.278204  0.650809 -1.669729  5.820443  0.000000 -0.000000
11.634747 defoc  1.188535  0.068259 -0.263199 16.171968  0.009878  0.033158  0.283967  0.662278 -1.358379  4.296070 -0.000000 -0.000000
12.013242 defoc  1.243584  0.070596 -0.359737 16.488466  0.009981  0.021669  0.289642  0.671346 -1.035915  3.088000 -0.000000 -0.000000
12.391737 defoc  1.296676  0.073674 -0.459149 16.904523  0.010041  0.010451  0.295250  0.677940 -0.704871  2.207924 -0.000000 -0.000000
12.770232 defoc  1.347424  0.077519 -0.562185 17.423443  0.010060 -0.000547  0.300815  0.682003 -0.367857  1.664678 -0.000000 -0.000000
13.148727 defoc  1.395544  0.082164 -0.669628 18.049306  0.010037 -0.011378  0.306357  0.683501 -0.027539  1.464160 -0.000000 -0.000000
13.527222 defoc  1.440849  0.087645 -0.782292 18.787004  0.009974 -0.022094  0.311897  0.682418  0.313383  1.609282 -0.000000 -0.000000
13.905717 defoc  1.483240  0.094005 -0.901035 19.642278  0.009870 -0.032745  0.317457  0.678761  0.652201  2.099945 -0.000000 -0.000000
14.284212 defoc  1.522696  0.101293 -1.026759 20.621764  0.009726 -0.043382  0.323057  0.672556  0.986224  2.933035 -0.000000 -0.000000
14.662707 defoc  1.559255  0.109565 -1.160418 21.733041  0.009542 -0.054055  0.328719  0.663849  1.312792  4.102462 -0.000000 -0.000000
15.041202 defoc  1.593004  0.118883 -1.303026 22.984687  0.009317 -0.064815  0.334468  0.652706  1.629308  5.599211 -0.000000 -0.000000
15.419697 defoc  1.624066  0.129316 -1.455660 24.386345  0.009051 -0.075713  0.340325  0.639213  1.933258  7.411422 -0.000000 -0.000000
15.798192 defoc  1.652582  0.140943 -1.619470 25.948788  0.008744 -0.086799  0.346319  0.623475  2.222228  9.524506 -0.000000 -0.000000
16.176687 defoc  1.678710  0.153847 -1.795687 27.683998  0.008394 -0.098125  0.352477  0.605613  2.493929 11.921270 -0.000000 -0.000000
16.555182 defoc  1.702613  0.168122 -1.985625 29.605252  0.008002 -0.109743  0.358830  0.585766  2.746215 14.582078 -0.000000 -0.000000
16.933677 defoc  1.724453  0.183872 -2.190695 31.727211  0.007565 -0.121705  0.365412  0.564090  2.977101 17.485025 -0.000000 -0.000000
17.312172 defoc  1.744389  0.201207 -2.412413 34.066023  0.007084 -0.134064  0.372263  0.540752  3.184780 20.606142 -0.000000 -0.000000
17.690667 defoc  1.762574  0.220250 -2.652403 36.639433  0.006555 -0.146875  0.379426  0.515935  3.367638 23.919610 -0.000000 -0.000000
18.069162 defoc  1.779153  0.241132 -2.912413 39.466899  0.005979 -0.160192  0.386953  0.489833  3.524266 27.398000 -0.000000 -0.000000
18.103709 defoc  1.778919  0.242992 -2.932324 39.572034  0.005873 -0.163078  0.387660  0.487393  3.537213 27.722707 -0.000000 -0.000000
23.150090   foc  1.909103  0.644342 -4.947804 39.572034 -0.002433 -0.163078  0.549599  0.200989  2.138219 27.722707 -0.000000 -0.000000
23.444000   foc  1.913566  0.672423 -4.685123 34.156375 -0.002895 -0.154139  0.564684  0.188976  1.951580 25.445903 -0.000000 -0.000000
23.737910   foc  1.917856  0.698909 -4.391860 29.053267 -0.003331 -0.144737  0.580713  0.178021  1.777632 23.367819 -0.000000 -0.000000
24.031820   foc  1.921994  0.723623 -4.069892 24.296041 -0.003739 -0.134898  0.597711  0.168054  1.615253 21.475376 -0.000000 -0.000000
24.325730   foc  1.926003  0.746399 -3.721288 19.915810 -0.004118 -0.124653  0.615696  0.159011  1.463398 19.756658 -0.000000 -0.000000
24.619640   foc  1.929899  0.767084 -3.348301 15.941259 -0.004467 -0.114030  0.634681  0.150831  1.321087 18.200838 -0.000000 -0.000000
24.913550   foc  1.933701  0.785536 -2.953348 12.398445 -0.004785 -0.103061  0.654668  0.143463  1.187398 16.798107 -0.000000 -0.000000
25.207460   foc  1.937422  0.801630 -2.538999  9.310623 -0.005070 -0.091778  0.675650  0.136857  1.061467 15.539616 -0.000000 -0.000000
25.501370   foc  1.941077  0.815257 -2.107960  6.698081 -0.005323 -0.080211  0.697611  0.130970  0.942477 14.417419 -0.000000 -0.000000
25.795280   foc  1.944680  0.826321 -1.663052  4.578000 -0.005540 -0.068396  0.720520  0.125764  0.829655 13.424421 -0.000000 -0.000000
26.089190   foc  1.948242  0.834748 -1.207192  2.964335 -0.005724 -0.056366  0.744334  0.121206  0.722268 12.554338 -0.000000 -0.000000
26.383100   foc  1.951775  0.840477 -0.743379  1.867714 -0.005871 -0.044154  0.768996  0.117264  0.619614 11.801657 -0.000000 -0.000000
26.677010   foc  1.955292  0.843468 -0.274664  1.295365 -0.005983 -0.031797  0.794435  0.113913  0.521026 11.161599 -0.000000 -0.000000
26.970920   foc  1.958803  0.843700  0.195860  1.251060 -0.006058 -0.019328  0.820568  0.111132  0.425859 10.630095 -0.000000 -0.000000
27.264830   foc  1.962320  0.841169  0.665091  1.735091 -0.006096 -0.006785  0.847294  0.108901  0.333490 10.203756 -0.000000 -0.000000
27.558740   foc  1.965854  0.835890  1.129931  2.744261 -0.006098  0.005799  0.874506  0.107207  0.243316  9.879855 -0.000000 -0.000000
27.852650   foc  1.969416  0.827900  1.587310  4.271907 -0.006062  0.018385  0.902083  0.106038  0.154745  9.656311 -0.000000 -0.000000
28.146560   foc  1.973019  0.817250  2.034210  6.307942 -0.005990  0.030940  0.929897  0.105386  0.067198  9.531671 -0.000000 -0.000000
28.440470   foc  1.976674  0.804013  2.467682  8.838924 -0.005880  0.043426  0.957816  0.105247 -0.019899  9.505111 -0.000000 -0.000000
28.734380   foc  1.980395  0.788277  2.884869 11.848150 -0.005735  0.055808  0.985703  0.105620 -0.107118  9.576419 -0.000000 -0.000000
29.028290   foc  1.984197  0.770149  3.283027 15.315765 -0.005553  0.068051  1.013425  0.106507 -0.195028  9.746004 -0.000000 -0.000000
29.043730   foc  1.984277  0.768282  3.335935 15.786467 -0.005528  0.069813  1.014874  0.106568 -0.199677  9.757646 -0.000000 -0.000000
