0                     153.79852  0.3381    0    15.5858
M2 V10                  0.87574  0.3381   36     6.2430
oCen V124               0.81067  0.3387   36     5.8498
M5 V9                   0.69891  0.3397   36     5.6755
oCen V74                0.77290  0.3400   36     5.8174
oCen V170               0.77905  0.3422   36     5.8497
M5 V77                  0.84526  0.3423   36     6.3966
oCen V206               0.79440  0.3426   36     5.8479
N5466 V14               0.78586  0.3432   36     5.7480
SV Eri                  0.71380  0.3433   36     5.2838
oCen V176               0.74275  0.3437   36     5.5510

