0                       0.63475  0.2288    0     9.5541
M3 V124                 0.75243  0.2288  654     5.9504
M5 V87                  0.73921  0.2299  654     6.0107
Rup106 V13              0.65315  0.2345  654     4.9328
FW Lup                  0.48417  0.2347  654     5.7156
M68 V30                 0.73364  0.2350  654     5.3584
Rup106 V18              0.63547  0.2383  654     5.4264
M3 V62                  0.65241  0.2464  654     5.6235
Rup106 V16              0.62851  0.2501  654     5.2816
CN Lyr                  0.41138  0.2563  654     5.5319
M5 V75                  0.68547  0.2574  654     5.6388

