# ra, dec, eq, x, y, fwhm, fwhm_x, fwhm_y, starsize, ellip, bg, sky, bright, time_local, time_ut
299.774589, 22.808050, 2000.0, 1312.639450, 2107.125878, 2.809110, 2.870103, 2.746763, 0.567292, 0.957026, 450.000000, 512.500000, 1128.866245, 2016-04-19 17:11:18, 2016-04-20 03:11:18
299.782397, 22.805041, 2000.0, 1184.417367, 2053.372873, 2.786045, 2.835107, 2.736103, 0.562681, 0.965079, 452.000000, 514.600000, 2849.662739, 2016-04-19 17:11:29, 2016-04-20 03:11:29
299.783372, 22.803598, 2000.0, 1168.422278, 2027.641014, 2.752350, 2.820599, 2.682366, 0.555788, 0.950992, 456.500000, 519.325000, 2037.992649, 2016-04-19 17:11:32, 2016-04-20 03:11:32
299.782759, 22.815191, 2000.0, 1178.310378, 2234.274273, 2.751810, 2.795602, 2.707309, 0.555783, 0.968417, 455.000000, 517.750000, 1622.646233, 2016-04-19 17:11:36, 2016-04-20 03:11:36
299.772423, 22.809600, 2000.0, 1348.205589, 2134.783576, 2.848961, 2.873218, 2.824496, 0.575458, 0.983043, 450.000000, 512.500000, 406.080995, 2016-04-19 17:11:41, 2016-04-20 03:11:41
299.774094, 22.802882, 2000.0, 1320.866464, 2015.024078, 2.703859, 2.740149, 2.667076, 0.546119, 0.973332, 458.500000, 521.425000, 1347.835038, 2016-04-19 17:11:45, 2016-04-20 03:11:45
299.779894, 22.799523, 2000.0, 1225.627263, 1955.070458, 2.780709, 2.843128, 2.716857, 0.561547, 0.955587, 452.000000, 514.600000, 10596.858737, 2016-04-19 17:11:59, 2016-04-20 03:11:59
299.775020, 22.810856, 2000.0, 1305.525189, 2157.134650, 2.761646, 2.796061, 2.726798, 0.557798, 0.975228, 450.000000, 512.500000, 1659.195215, 2016-04-19 17:12:08, 2016-04-20 03:12:08
299.782397, 22.805041, 2000.0, 1184.417379, 2053.372881, 2.784598, 2.833657, 2.734658, 0.562389, 0.965063, 453.000000, 515.650000, 2848.892518, 2016-04-19 17:12:24, 2016-04-20 03:12:24
299.778818, 22.807898, 2000.0, 1243.165719, 2104.356279, 2.705997, 2.702297, 2.709693, 0.546600, 0.997270, 453.000000, 515.650000, 734.000792, 2016-04-19 17:12:31, 2016-04-20 03:12:31
299.775721, 22.803834, 2000.0, 1294.120235, 2031.972507, 2.742781, 2.818631, 2.664773, 0.553813, 0.945414, 454.000000, 516.700000, 1046.977988, 2016-04-19 17:12:35, 2016-04-20 03:12:35
299.781332, 22.809147, 2000.0, 1201.842274, 2126.581687, 2.752711, 2.809410, 2.694819, 0.555916, 0.959212, 456.000000, 518.800000, 2433.182772, 2016-04-19 17:13:18, 2016-04-20 03:13:18
299.778818, 22.807898, 2000.0, 1243.165719, 2104.356279, 2.705996, 2.702293, 2.709694, 0.546600, 0.997269, 453.000000, 515.650000, 734.001046, 2016-04-19 17:13:21, 2016-04-20 03:13:21
299.774249, 22.809037, 2000.0, 1318.207277, 2124.727589, 2.789287, 2.876809, 2.698929, 0.563138, 0.938168, 452.000000, 514.600000, 771.558106, 2016-04-19 17:13:24, 2016-04-20 03:13:24
299.774094, 22.802882, 2000.0, 1320.866361, 2015.024092, 2.714538, 2.751041, 2.677536, 0.548275, 0.973281, 455.000000, 517.750000, 1350.139371, 2016-04-19 17:13:27, 2016-04-20 03:13:27
299.769882, 22.812952, 2000.0, 1389.891940, 2194.574640, 2.793255, 2.888003, 2.695178, 0.563890, 0.933232, 453.000000, 515.650000, 1379.616638, 2016-04-19 17:13:30, 2016-04-20 03:13:30
